"","CAS","ChemName"
"1","29331-92-8","10,11-Dihydro-10-hydroxycarbamazepine"
"2","58955-93-4","10,11-Dihydro-10,11-dihydroxy-carbamazepine"
"3","95-14-7","1H-Benzotriazole"
"4","615-22-5","2-(Methylthio)benzothiazole"
"5","941-57-1","2-Benzothiazolesulfonic acid"
"6","68011-66-5","2-Hydroxycarbamazepine"
"7","94-75-7","2,4-Dichlorphenoxyacetic acid"
"8","51-28-5","2,4-Dinitrophenol"
"9","136-85-6","5-methyl-1H-benzotriazole"
"10","33665-90-6","Acesulfame"
"11","1912-24-9","Atrazine"
"12","25057-89-0","Bentazone"
"13","4065-45-6","Benzophenone-4"
"14","298-46-4","Carbamazepine"
"15","1698-60-8","Chloridazon"
"16","15545-48-9","Chlorotoluron"
"17","81103-11-9","Clarithromycin"
"18","100-88-9","Cyclamate"
"19","134-62-3","DEET"
"20","75847-73-3","Enalapril"
"21","68002-20-0","Hexa(methoxymethyl)melamine"
"22","34123-59-6","Isoproturon"
"23","93-65-2","Mecoprop"
"24","657-24-9","Metformin"
"25","51218-45-2","Metolachlor"
"26","171118-09-5","Metolachlor ESA"
"27","37350-58-6","Metoprolol"
"28","83-15-8","N-Acetyl-4-aminoantipyrine"
"29","1672-58-8","N-Formyl-4-aminoantipyrine"
"30","604-75-1","Oxazepam"
"31","70-55-3","p-Toluenesulfonamide"
"32","60-80-0","Phenazone"
"33","27503-81-7","Phenylbenzimidazole sulfonic acid"
"34","56038-13-2","Sucralose"
"35","723-46-6","Sulfamethoxazole"
"36","5915-41-3","Terbuthylazine"
"37","66753-07-9","Terbuthylazine-2-hydroxy"
"38","143-24-8","Tetraglyme"
"39","27203-92-5","Tramadol"
"40","791-28-6","Triphenylphosphine oxide"
